Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,1073741824,0,0.000,0,0.000,4,68984,68936,0.001,--------,stream-sum
5,32768,0,0.000,0,0.000,8,149500,149491,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,8,151912,151891,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,8,130410,130372,0.001,--------,stream-sum
5,1073741824,0,0.000,0,0.000,8,121278,120746,0.021,--------,stream-sum
5,32768,0,0.000,0,0.000,12,223049,223028,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,12,227604,227577,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,12,164715,164542,0.003,--------,stream-sum
5,1073741824,0,0.000,0,0.000,12,151635,151520,0.002,--------,stream-sum
5,32768,0,0.000,0,0.000,16,298158,298135,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,16,303776,303752,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,16,185406,183786,0.023,--------,stream-sum
5,1073741824,0,0.000,0,0.000,16,169101,168982,0.001,--------,stream-sum
5,32768,0,0.000,0,0.000,20,340154,339895,0.002,--------,stream-sum
5,524288,0,0.000,0,0.000,20,379035,378986,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,20,189571,188345,0.017,--------,stream-sum
5,1073741824,0,0.000,0,0.000,20,170374,169993,0.006,--------,stream-sum
5,32768,0,0.000,0,0.000,24,331653,331388,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,24,455458,455430,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,24,180963,180530,0.007,--------,stream-sum
5,1073741824,0,0.000,0,0.000,24,162077,161460,0.007,--------,stream-sum
5,32768,0,0.000,0,0.000,28,288914,288825,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,28,530205,530184,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,28,180030,179624,0.003,--------,stream-sum
5,1073741824,0,0.000,0,0.000,28,164964,164789,0.002,--------,stream-sum
5,32768,0,0.000,0,0.000,32,329709,329644,0.000,--------,stream-sum
5,524288,0,0.000,0,0.000,32,606551,606482,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,32,178560,178345,0.003,--------,stream-sum
5,1073741824,0,0.000,0,0.000,32,166862,166775,0.001,--------,stream-sum
5,32768,0,0.000,0,0.000,1,56294,56292,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,1,47989,47977,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,1,24779,24768,0.001,--------,stream-triad
5,1073741824,0,0.000,0,0.000,1,23946,23930,0.002,--------,stream-triad
5,32768,0,0.000,0,0.000,4,225184,225180,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,4,218279,218201,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,4,92974,92783,0.008,--------,stream-triad
5,1073741824,0,0.000,0,0.000,4,88881,88830,0.001,--------,stream-triad
5,32768,0,0.000,0,0.000,8,450374,450369,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,8,436379,436317,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,8,145071,144962,0.002,--------,stream-triad
5,1073741824,0,0.000,0,0.000,8,138804,138737,0.001,--------,stream-triad
