Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
5,16777216,0,0.000,0,0.000,16,80606,80445,0.003,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,16,76702,76527,0.008,--------,memsetz-libc
5,32768,0,0.000,0,0.000,20,1829240,1822782,0.007,--------,memsetz-libc
5,524288,0,0.000,0,0.000,20,871754,855256,0.086,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,20,79934,79644,0.014,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,20,77003,76817,0.004,--------,memsetz-libc
5,32768,0,0.000,0,0.000,24,1514601,1508776,0.009,--------,memsetz-libc
5,524288,0,0.000,0,0.000,24,830401,800900,0.088,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,24,79333,79212,0.003,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,24,76665,74695,0.064,--------,memsetz-libc
5,32768,0,0.000,0,0.000,28,1217429,1213067,0.010,--------,memsetz-libc
5,524288,0,0.000,0,0.000,28,777237,744598,0.142,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,28,78433,77825,0.014,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,28,76554,74965,0.051,--------,memsetz-libc
5,32768,0,0.000,0,0.000,32,887802,885302,0.013,--------,memsetz-libc
5,524288,0,0.000,0,0.000,32,724538,693556,0.146,--------,memsetz-libc
5,16777216,0,0.000,0,0.000,32,78051,76986,0.056,--------,memsetz-libc
5,1073741824,0,0.000,0,0.000,32,76362,75972,0.018,--------,memsetz-libc
5,32768,0,0.000,0,0.000,1,71614,71581,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,1,41889,41885,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,1,23915,23488,0.030,--------,stream-sum
5,1073741824,0,0.000,0,0.000,1,11447,11417,0.005,--------,stream-sum
5,32768,0,0.000,0,0.000,4,253561,253346,0.003,--------,stream-sum
5,524288,0,0.000,0,0.000,4,163662,163652,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,4,51729,51316,0.020,--------,stream-sum
5,1073741824,0,0.000,0,0.000,4,43666,43630,0.003,--------,stream-sum
5,32768,0,0.000,0,0.000,8,410969,410791,0.001,--------,stream-sum
5,524288,0,0.000,0,0.000,8,333886,333767,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,8,90457,90391,0.002,--------,stream-sum
5,1073741824,0,0.000,0,0.000,8,82271,82166,0.005,--------,stream-sum
5,32768,0,0.000,0,0.000,12,513786,513555,0.002,--------,stream-sum
5,524288,0,0.000,0,0.000,12,500735,500662,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,12,114236,113891,0.004,--------,stream-sum
5,1073741824,0,0.000,0,0.000,12,104211,104063,0.003,--------,stream-sum
5,32768,0,0.000,0,0.000,16,580648,578632,0.012,--------,stream-sum
5,524288,0,0.000,0,0.000,16,667407,667308,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,16,118387,117840,0.010,--------,stream-sum
5,1073741824,0,0.000,0,0.000,16,109672,109270,0.008,--------,stream-sum
5,32768,0,0.000,0,0.000,20,603227,601346,0.009,--------,stream-sum
5,524288,0,0.000,0,0.000,20,674012,673920,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,20,117797,117393,0.007,--------,stream-sum
5,1073741824,0,0.000,0,0.000,20,109068,108071,0.036,--------,stream-sum
5,32768,0,0.000,0,0.000,24,644688,643844,0.006,--------,stream-sum
5,524288,0,0.000,0,0.000,24,676193,676098,0.000,--------,stream-sum
5,16777216,0,0.000,0,0.000,24,116219,115358,0.029,--------,stream-sum
5,1073741824,0,0.000,0,0.000,24,107797,105374,0.054,--------,stream-sum
5,32768,0,0.000,0,0.000,28,683372,681865,0.005,--------,stream-sum
5,524288,0,0.000,0,0.000,28,680957,680807,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,28,114528,114037,0.007,--------,stream-sum
5,1073741824,0,0.000,0,0.000,28,107268,106186,0.033,--------,stream-sum
5,32768,0,0.000,0,0.000,32,739367,738650,0.003,--------,stream-sum
5,524288,0,0.000,0,0.000,32,627779,627440,0.001,--------,stream-sum
5,16777216,0,0.000,0,0.000,32,110752,107181,0.068,--------,stream-sum
5,1073741824,0,0.000,0,0.000,32,106411,105982,0.017,--------,stream-sum
5,32768,0,0.000,0,0.000,1,91733,91729,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,1,59289,59278,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,1,24109,23883,0.023,--------,stream-triad
5,1073741824,0,0.000,0,0.000,1,12474,12418,0.011,--------,stream-triad
5,32768,0,0.000,0,0.000,4,357505,357309,0.002,--------,stream-triad
5,524288,0,0.000,0,0.000,4,237076,237055,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,4,61142,60650,0.023,--------,stream-triad
5,1073741824,0,0.000,0,0.000,4,46225,46204,0.001,--------,stream-triad
5,32768,0,0.000,0,0.000,8,724026,723918,0.001,--------,stream-triad
5,524288,0,0.000,0,0.000,8,474242,474191,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,8,81529,81161,0.013,--------,stream-triad
5,1073741824,0,0.000,0,0.000,8,65007,64908,0.004,--------,stream-triad
5,32768,0,0.000,0,0.000,12,1080510,1080393,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,12,711446,711337,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,12,83159,81584,0.039,--------,stream-triad
5,1073741824,0,0.000,0,0.000,12,72310,72241,0.002,--------,stream-triad
5,32768,0,0.000,0,0.000,16,1422033,1421025,0.001,--------,stream-triad
5,524288,0,0.000,0,0.000,16,948400,948272,0.000,--------,stream-triad
5,16777216,0,0.000,0,0.000,16,81133,80819,0.010,--------,stream-triad
5,1073741824,0,0.000,0,0.000,16,73804,73747,0.001,--------,stream-triad
5,32768,0,0.000,0,0.000,20,1327463,1327066,0.001,--------,stream-triad
5,524288,0,0.000,0,0.000,20,920657,920534,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,20,80532,80000,0.017,--------,stream-triad
5,1073741824,0,0.000,0,0.000,20,73391,72812,0.024,--------,stream-triad
5,32768,0,0.000,0,0.000,24,1217107,1216426,0.001,--------,stream-triad
5,524288,0,0.000,0,0.000,24,887112,886957,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,24,79609,79433,0.006,--------,stream-triad
5,1073741824,0,0.000,0,0.000,24,72977,72094,0.027,--------,stream-triad
5,32768,0,0.000,0,0.000,28,1114375,1114204,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,28,819953,819657,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,28,78823,78446,0.015,--------,stream-triad
5,1073741824,0,0.000,0,0.000,28,73235,72983,0.015,--------,stream-triad
5,32768,0,0.000,0,0.000,32,1012759,1012562,0.000,--------,stream-triad
5,524288,0,0.000,0,0.000,32,746325,746184,0.001,--------,stream-triad
5,16777216,0,0.000,0,0.000,32,75507,73727,0.045,--------,stream-triad
5,1073741824,0,0.000,0,0.000,32,73001,72946,0.002,--------,stream-triad
