Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
Intel,2,5,32768,0,0,0,0,24,1589283,1587350,0.003,--------,memset-libc
Intel,3,5,32768,0,0,0,0,24,1600208,1598405,0.003,--------,memset-libc
Intel,1,5,524288,0,0,0,0,24,826146,807378,0.064,--------,memset-libc
Intel,2,5,524288,0,0,0,0,24,844550,827471,0.075,--------,memset-libc
Intel,3,5,524288,0,0,0,0,24,845581,829907,0.068,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,24,81496,81233,0.012,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,24,80968,80619,0.01,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,24,81257,80655,0.016,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,24,78500,78270,0.007,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,24,78196,77924,0.008,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,24,78083,77894,0.003,--------,memset-libc
Intel,1,5,32768,0,0,0,0,28,1253899,1251778,0.005,--------,memset-libc
Intel,2,5,32768,0,0,0,0,28,1240576,1236379,0.006,--------,memset-libc
Intel,3,5,32768,0,0,0,0,28,1297314,1292676,0.009,--------,memset-libc
Intel,1,5,524288,0,0,0,0,28,797228,784120,0.056,--------,memset-libc
Intel,2,5,524288,0,0,0,0,28,787275,775753,0.062,--------,memset-libc
Intel,3,5,524288,0,0,0,0,28,800158,781001,0.056,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,28,82749,82451,0.015,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,28,82885,82747,0.004,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,28,82817,82520,0.01,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,28,80090,79993,0.004,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,28,80232,79934,0.013,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,28,80180,79687,0.013,--------,memset-libc
Intel,1,5,32768,0,0,0,0,32,897330,893249,0.017,--------,memset-libc
Intel,2,5,32768,0,0,0,0,32,895801,891843,0.02,--------,memset-libc
Intel,3,5,32768,0,0,0,0,32,897239,892975,0.022,--------,memset-libc
Intel,1,5,524288,0,0,0,0,32,749188,715121,0.164,--------,memset-libc
Intel,2,5,524288,0,0,0,0,32,742795,706237,0.177,--------,memset-libc
Intel,3,5,524288,0,0,0,0,32,745955,711380,0.159,--------,memset-libc
Intel,1,5,16777216,0,0,0,0,32,82144,81303,0.032,--------,memset-libc
Intel,2,5,16777216,0,0,0,0,32,81432,81004,0.01,--------,memset-libc
Intel,3,5,16777216,0,0,0,0,32,81738,80856,0.022,--------,memset-libc
Intel,1,5,1073741824,0,0,0,0,32,79532,78803,0.019,--------,memset-libc
Intel,2,5,1073741824,0,0,0,0,32,79552,79463,0.002,--------,memset-libc
Intel,3,5,1073741824,0,0,0,0,32,79512,79410,0.002,--------,memset-libc
Intel,1,5,32768,0,0,0,0,1,124678,124555,0.002,--------,memsetz-libc
Intel,2,5,32768,0,0,0,0,1,124261,124190,0.001,--------,memsetz-libc
Intel,3,5,32768,0,0,0,0,1,125361,125235,0.002,--------,memsetz-libc
Intel,1,5,524288,0,0,0,0,1,56620,55004,0.141,--------,memsetz-libc
Intel,2,5,524288,0,0,0,0,1,56720,54978,0.145,--------,memsetz-libc
Intel,3,5,524288,0,0,0,0,1,56448,54777,0.146,--------,memsetz-libc
Intel,1,5,16777216,0,0,0,0,1,22519,22454,0.013,--------,memsetz-libc
Intel,2,5,16777216,0,0,0,0,1,22483,22367,0.011,--------,memsetz-libc
Intel,3,5,16777216,0,0,0,0,1,22487,22420,0.011,--------,memsetz-libc
Intel,1,5,1073741824,0,0,0,0,1,6890,6875,0.004,--------,memsetz-libc
Intel,2,5,1073741824,0,0,0,0,1,6881,6879,0.001,--------,memsetz-libc
Intel,3,5,1073741824,0,0,0,0,1,6879,6878,0,--------,memsetz-libc
Intel,1,5,32768,0,0,0,0,4,576865,576544,0.002,--------,memsetz-libc
Intel,2,5,32768,0,0,0,0,4,565629,562755,0.007,--------,memsetz-libc
Intel,3,5,32768,0,0,0,0,4,547667,547211,0.002,--------,memsetz-libc
Intel,1,5,524288,0,0,0,0,4,226300,219360,0.133,--------,memsetz-libc
Intel,2,5,524288,0,0,0,0,4,225792,219110,0.145,--------,memsetz-libc
Intel,3,5,524288,0,0,0,0,4,226633,219861,0.143,--------,memsetz-libc
Intel,1,5,16777216,0,0,0,0,4,28656,28624,0.002,--------,memsetz-libc
Intel,2,5,16777216,0,0,0,0,4,28630,28608,0.002,--------,memsetz-libc
Intel,3,5,16777216,0,0,0,0,4,28635,28612,0.003,--------,memsetz-libc
Intel,1,5,1073741824,0,0,0,0,4,26894,26872,0.002,--------,memsetz-libc
Intel,2,5,1073741824,0,0,0,0,4,26912,26865,0.003,--------,memsetz-libc
Intel,3,5,1073741824,0,0,0,0,4,26859,26842,0.002,--------,memsetz-libc
Intel,1,5,32768,0,0,0,0,8,1069596,1068955,0.002,--------,memsetz-libc
Intel,2,5,32768,0,0,0,0,8,1084546,1084277,0,--------,memsetz-libc
Intel,3,5,32768,0,0,0,0,8,1051915,1051101,0.004,--------,memsetz-libc
Intel,1,5,524288,0,0,0,0,8,454299,441643,0.137,--------,memsetz-libc
Intel,2,5,524288,0,0,0,0,8,456100,442856,0.138,--------,memsetz-libc
Intel,3,5,524288,0,0,0,0,8,455049,442524,0.138,--------,memsetz-libc
Intel,1,5,16777216,0,0,0,0,8,55032,55004,0.001,--------,memsetz-libc
Intel,2,5,16777216,0,0,0,0,8,55259,55194,0.002,--------,memsetz-libc
Intel,3,5,16777216,0,0,0,0,8,55196,55125,0.003,--------,memsetz-libc
Intel,1,5,1073741824,0,0,0,0,8,52696,52628,0.004,--------,memsetz-libc
Intel,2,5,1073741824,0,0,0,0,8,52529,52507,0.002,--------,memsetz-libc
Intel,3,5,1073741824,0,0,0,0,8,52534,52521,0,--------,memsetz-libc
Intel,1,5,32768,0,0,0,0,12,1610351,1609101,0.002,--------,memsetz-libc
Intel,2,5,32768,0,0,0,0,12,1667013,1665721,0.002,--------,memsetz-libc
Intel,3,5,32768,0,0,0,0,12,1680998,1679681,0.002,--------,memsetz-libc
Intel,1,5,524288,0,0,0,0,12,679464,659913,0.128,--------,memsetz-libc
Intel,2,5,524288,0,0,0,0,12,678027,657695,0.123,--------,memsetz-libc
Intel,3,5,524288,0,0,0,0,12,678866,661779,0.126,--------,memsetz-libc
Intel,1,5,16777216,0,0,0,0,12,78731,78540,0.005,--------,memsetz-libc
Intel,2,5,16777216,0,0,0,0,12,78787,78733,0.002,--------,memsetz-libc
Intel,3,5,16777216,0,0,0,0,12,78646,78519,0.004,--------,memsetz-libc
Intel,1,5,1073741824,0,0,0,0,12,74973,74792,0.006,--------,memsetz-libc
Intel,2,5,1073741824,0,0,0,0,12,75034,74946,0.003,--------,memsetz-libc
Intel,3,5,1073741824,0,0,0,0,12,74998,74744,0.009,--------,memsetz-libc
Intel,1,5,32768,0,0,0,0,16,2216262,2214733,0.001,--------,memsetz-libc
Intel,2,5,32768,0,0,0,0,16,2202127,2179871,0.015,--------,memsetz-libc
Intel,3,5,32768,0,0,0,0,16,2226630,2223607,0.002,--------,memsetz-libc
Intel,1,5,524288,0,0,0,0,16,900638,877751,0.102,--------,memsetz-libc
Intel,2,5,524288,0,0,0,0,16,904157,884357,0.107,--------,memsetz-libc
Intel,3,5,524288,0,0,0,0,16,901643,880161,0.105,--------,memsetz-libc
Intel,1,5,16777216,0,0,0,0,16,84240,84012,0.005,--------,memsetz-libc
Intel,2,5,16777216,0,0,0,0,16,84187,83022,0.02,--------,memsetz-libc
Intel,3,5,16777216,0,0,0,0,16,84743,84659,0.002,--------,memsetz-libc
Intel,1,5,1073741824,0,0,0,0,16,79145,78647,0.014,--------,memsetz-libc
Intel,2,5,1073741824,0,0,0,0,16,79334,78960,0.013,--------,memsetz-libc
Intel,3,5,1073741824,0,0,0,0,16,79201,79069,0.003,--------,memsetz-libc
Intel,1,5,32768,0,0,0,0,20,1938161,1936467,0.003,--------,memsetz-libc
Intel,2,5,32768,0,0,0,0,20,1953390,1951203,0.003,--------,memsetz-libc
Intel,3,5,32768,0,0,0,0,20,1902089,1900614,0.003,--------,memsetz-libc
Intel,1,5,524288,0,0,0,0,20,877900,858136,0.11,--------,memsetz-libc
Intel,2,5,524288,0,0,0,0,20,874822,850735,0.119,--------,memsetz-libc
Intel,3,5,524288,0,0,0,0,20,880115,859726,0.109,--------,memsetz-libc
Intel,1,5,16777216,0,0,0,0,20,84306,84229,0.002,--------,memsetz-libc
Intel,2,5,16777216,0,0,0,0,20,83864,83467,0.011,--------,memsetz-libc
Intel,3,5,16777216,0,0,0,0,20,84361,83784,0.029,--------,memsetz-libc
Intel,1,5,1073741824,0,0,0,0,20,80472,80174,0.01,--------,memsetz-libc
Intel,2,5,1073741824,0,0,0,0,20,80149,79988,0.006,--------,memsetz-libc
Intel,3,5,1073741824,0,0,0,0,20,80231,79639,0.012,--------,memsetz-libc
Intel,1,5,32768,0,0,0,0,24,1605159,1601384,0.004,--------,memsetz-libc
Intel,2,5,32768,0,0,0,0,24,1611730,1609200,0.004,--------,memsetz-libc
Intel,3,5,32768,0,0,0,0,24,1631607,1629773,0.004,--------,memsetz-libc
Intel,1,5,524288,0,0,0,0,24,837929,820206,0.097,--------,memsetz-libc
Intel,2,5,524288,0,0,0,0,24,836281,819023,0.077,--------,memsetz-libc
Intel,3,5,524288,0,0,0,0,24,829813,821134,0.049,--------,memsetz-libc
