Architecture,Iteration,Samples,Byte/thd,ChaseThds,ChaseNS,ChaseMibs,ChDeviate,LoadThds,LdMaxMibs,LdAvgMibs,LdDeviate,ChaseArg,MemLdArg
Intel,3,5,1073741824,1,263.562,29,0.01,19,109813,109794,0,chaseload,stream-sum
Intel,4,5,1073741824,1,260.065,29,0.013,19,109802,109765,0.001,chaseload,stream-sum
Intel,5,5,1073741824,1,262.821,29,0.016,19,109772,109767,0,chaseload,stream-sum
Intel,1,5,1073741824,1,275.138,28,0.019,23,109050,109026,0,chaseload,stream-sum
Intel,2,5,1073741824,1,281.365,27,0.006,23,109043,109024,0,chaseload,stream-sum
Intel,3,5,1073741824,1,276.739,28,0.042,23,109031,108971,0.002,chaseload,stream-sum
Intel,4,5,1073741824,1,279.912,27,0.005,23,109048,109034,0,chaseload,stream-sum
Intel,5,5,1073741824,1,272.743,28,0.008,23,109045,109033,0,chaseload,stream-sum
Intel,1,5,1073741824,1,290.05,26,0.023,27,108667,108656,0,chaseload,stream-sum
Intel,2,5,1073741824,1,291.034,26,0.02,27,108668,108648,0,chaseload,stream-sum
Intel,3,5,1073741824,1,283.651,27,0.006,27,108689,108675,0,chaseload,stream-sum
Intel,4,5,1073741824,1,296.057,26,0.023,27,108659,108640,0,chaseload,stream-sum
Intel,5,5,1073741824,1,295.465,26,0.018,27,108666,108651,0,chaseload,stream-sum
Intel,1,5,1073741824,1,311.826,24,0.016,31,108605,108596,0,chaseload,stream-sum
Intel,2,5,1073741824,1,320.323,24,0.075,31,108629,108598,0.001,chaseload,stream-sum
Intel,3,5,1073741824,1,320.986,24,0.01,31,108610,108592,0,chaseload,stream-sum
Intel,4,5,1073741824,1,312.345,24,0.012,31,108629,108607,0,chaseload,stream-sum
Intel,5,5,1073741824,1,313.33,24,0.018,31,108607,108591,0,chaseload,stream-sum
Intel,1,5,1073741824,1,121.731,63,0,0,0,0,0,chaseload,stream-triad
Intel,2,5,1073741824,1,121.711,63,0,0,0,0,0,chaseload,stream-triad
Intel,3,5,1073741824,1,121.68,63,0.001,0,0,0,0,chaseload,stream-triad
Intel,4,5,1073741824,1,121.689,63,0.001,0,0,0,0,chaseload,stream-triad
Intel,5,5,1073741824,1,121.683,63,0.001,0,0,0,0,chaseload,stream-triad
Intel,1,5,1073741824,1,139.94,55,0.001,3,35832,35813,0.001,chaseload,stream-triad
Intel,2,5,1073741824,1,140.002,54,0.001,3,35784,35771,0.001,chaseload,stream-triad
Intel,3,5,1073741824,1,140.084,54,0.001,3,35789,35786,0,chaseload,stream-triad
Intel,4,5,1073741824,1,140.087,54,0.001,3,35771,35767,0,chaseload,stream-triad
Intel,5,5,1073741824,1,140.11,54,0.001,3,35768,35762,0,chaseload,stream-triad
Intel,1,5,1073741824,1,175.236,44,0.004,7,65024,65003,0.001,chaseload,stream-triad
Intel,2,5,1073741824,1,175.178,44,0.001,7,65027,65012,0.001,chaseload,stream-triad
Intel,3,5,1073741824,1,175.228,44,0.001,7,65032,65025,0,chaseload,stream-triad
Intel,4,5,1073741824,1,175.1,44,0,7,65062,65049,0,chaseload,stream-triad
Intel,5,5,1073741824,1,175.197,44,0,7,65049,65042,0,chaseload,stream-triad
Intel,1,5,1073741824,1,248.531,31,0.011,11,72991,72968,0.001,chaseload,stream-triad
Intel,2,5,1073741824,1,249.815,31,0.002,11,73002,72985,0,chaseload,stream-triad
Intel,3,5,1073741824,1,248.458,31,0.001,11,72979,72969,0,chaseload,stream-triad
Intel,4,5,1073741824,1,248.539,31,0.001,11,73005,72987,0.001,chaseload,stream-triad
Intel,5,5,1073741824,1,248.787,31,0.001,11,72972,72966,0,chaseload,stream-triad
Intel,1,5,1073741824,1,359.784,21,0.006,15,75448,75427,0.001,chaseload,stream-triad
Intel,2,5,1073741824,1,357.843,21,0.009,15,75452,75416,0.001,chaseload,stream-triad
Intel,3,5,1073741824,1,359.702,21,0.003,15,75433,75420,0,chaseload,stream-triad
Intel,4,5,1073741824,1,360.289,21,0.005,15,75445,75417,0.001,chaseload,stream-triad
Intel,5,5,1073741824,1,359.542,21,0.03,15,75460,75430,0.001,chaseload,stream-triad
Intel,1,5,1073741824,1,554.8,14,0.013,19,75472,75454,0,chaseload,stream-triad
Intel,2,5,1073741824,1,553.213,14,0.016,19,75441,75432,0,chaseload,stream-triad
Intel,3,5,1073741824,1,557.341,14,0.017,19,75460,75445,0,chaseload,stream-triad
Intel,4,5,1073741824,1,551.248,14,0.039,19,75471,75427,0.001,chaseload,stream-triad
Intel,5,5,1073741824,1,552.53,14,0.026,19,75449,75439,0,chaseload,stream-triad
Intel,1,5,1073741824,1,568.563,13,0.01,23,75411,75389,0.001,chaseload,stream-triad
Intel,2,5,1073741824,1,575.362,13,0.01,23,75395,75376,0,chaseload,stream-triad
Intel,3,5,1073741824,1,567.362,13,0.014,23,75396,75386,0,chaseload,stream-triad
Intel,4,5,1073741824,1,569.849,13,0.016,23,75395,75381,0,chaseload,stream-triad
Intel,5,5,1073741824,1,554.986,14,0.019,23,75389,75378,0,chaseload,stream-triad
Intel,1,5,1073741824,1,589.176,13,0.009,27,75282,75272,0.001,chaseload,stream-triad
Intel,2,5,1073741824,1,578.717,13,0.015,27,75279,75269,0,chaseload,stream-triad
Intel,3,5,1073741824,1,581.696,13,0.039,27,75286,75255,0.001,chaseload,stream-triad
Intel,4,5,1073741824,1,590.914,13,0.006,27,75289,75280,0,chaseload,stream-triad
Intel,5,5,1073741824,1,581.355,13,0.019,27,75290,75280,0,chaseload,stream-triad
Intel,1,5,1073741824,1,600.557,13,0.012,31,75128,75114,0,chaseload,stream-triad
Intel,2,5,1073741824,1,597.771,13,0.014,31,75117,75104,0,chaseload,stream-triad
Intel,3,5,1073741824,1,594.005,13,0.018,31,75127,75113,0,chaseload,stream-triad
